iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-03-28,177602.0,82.0,58.714,7663.0,1.0,1.286,4458.393,2.058,1.474,192.366,0.025,0.032,0.61,,,,,,,,,,,,,,,,,,5751015.0,5082824.0,4420127.0,,,6319.0,14.44,12.76,11.1,,159.0,5282.0,0.013,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-03-28,11501709.0,5648.0,4915.286,251636.0,71.0,52.714,8374.097,4.112,3.579,183.21,0.052,0.038,,,,,,,,,,,,,,,,,,,449321666.0,280991301.0,208427481.0,16532236.0,2297143.0,1428698.0,32.71,20.46,15.18,1.2,1040.0,667117.0,0.049,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-03-28,273432.0,0.0,49.143,3491.0,0.0,0.571,95175.176,0.0,17.105,1215.134,0.0,0.199,0.76,,,,,,,,,1598280.0,646.0,556.323,0.225,126.0,0.044,0.39,2.6,tests performed,2754244.0,1278902.0,1215199.0,260143.0,2541.0,1821.0,95.87,44.52,42.3,9.05,634.0,333.0,0.012,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-03-28,265641.0,12.0,11.286,6873.0,0.0,0.143,5953.857,0.269,0.253,154.046,0.0,0.003,0.55,5.0,0.112,,,,,,,,,,,,,,,,,,,436274.0,,,,,,0.98,,,,58.33,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-03-28,39713.0,479.0,131.286,153.0,0.0,0.286,513392.973,6192.311,1697.207,1977.92,0.0,3.694,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-03-28,99115.0,0.0,15.0,1900.0,0.0,0.0,2920.85,0.0,0.442,55.992,0.0,0.0,1.19,,,,,,,,,1491179.0,,43.944,,1800.0,0.053,0.008,124.4,tests performed,17535411.0,11235059.0,5993792.0,296060.0,,34171.0,51.68,33.11,17.66,0.87,1007.0,18699.0,0.055,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-03-28,2700.0,67.0,15.0,9.0,0.0,0.0,178512.397,4429.752,991.736,595.041,0.0,0.0,,,,,,,,,,,,,,,,,,,22714.0,10572.0,9624.0,2518.0,,11.0,150.18,69.9,63.63,16.65,727.0,4.0,0.026,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-03-28,7491.0,6.0,2.571,135.0,0.0,0.0,75875.132,60.773,26.046,1367.393,0.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-03-28,9028730.0,2655.0,2480.429,127943.0,34.0,49.143,197973.184,58.216,54.388,2805.409,0.746,1.078,0.55,632.0,13.858,,,,,,,35186417.0,10292.0,771.533,0.226,20869.0,0.458,0.04,25.0,tests performed,96399514.0,40899945.0,36906424.0,18897034.0,0.0,56124.0,211.38,89.68,80.92,41.44,1231.0,2736.0,0.006,31.48,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-03-28,422468.0,10.0,20.0,8610.0,0.0,1.714,142334.832,3.369,6.738,2900.818,0.0,0.578,0.23,,,,,,,,,2969876.0,2397.0,1000.589,0.808,2314.0,0.78,0.009,111.1,tests performed,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
